lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.37282714
2,0,0,0,0.30035666
3,0,0,0,0.18343951
4,0,0,0,0.08037333
5,0,0,0,0.059040483
6,0,0,0,0.06251386
7,0,0,0,0.07507277
8,0,0,0,0.07086601
9,0,0,0,0.06718375
10,0,0,0,0.06686845
11,1,0,0,0.07636086
12,0,0,0,0.06380537
13,0,0,0,0.06557678
14,1,0,0,0.077764
15,0,0,0,0.06677084
16,0,0,0,0.06801094
17,0,0,1,0.07014712
18,0,1,1,0.07094577
19,0,0,0,0.34051475
20,0,0,0,0.31430474
21,0,0,0,0.19558021
22,0,0,0,0.19864587
23,0,0,0,0.13201277
24,0,0,0,0.18004753
25,0,0,0,0.17307334
26,0,0,0,0.15258916
27,0,0,0,0.13909097
28,0,0,0,0.1300168
29,0,0,0,0.1265826
30,0,0,0,0.12684633
31,0,0,0,0.12878253
32,0,0,0,0.13083942
33,0,0,0,0.13004664
34,0,0,0,0.13468747
35,0,0,0,0.13697746
36,0,0,0,0.11706837
37,0,0,0,0.10201709
38,0,0,0,0.09800014
39,0,0,0,0.10020747
40,0,0,0,0.10174793
41,0,0,0,0.09707597
42,0,0,0,0.096181564
43,0,0,0,0.09685668
44,0,0,0,0.09550472
45,0,0,0,0.10094871
46,0,0,0,0.0982268
47,0,0,0,0.09442297
48,0,0,0,0.09844145
49,0,0,0,0.096027315
50,0,0,0,0.096872285
51,0,0,1,0.106368445
52,0,1,1,0.11802128
53,0,0,0,0.5177169
54,1,0,0,0.55997914
55,1,0,0,0.68238544
56,0,0,0,0.5413963
57,1,0,0,0.42437264
58,1,0,0,0.49124426
59,0,0,0,0.38074094
60,1,0,0,0.36015186
61,0,0,0,0.5103361
62,0,0,0,0.43368748
63,0,0,0,0.3543962
64,0,0,0,0.19656566
65,0,0,0,0.15696843
66,0,0,0,0.17330289
67,1,0,0,0.1711531
68,0,0,0,0.1337901
69,0,0,0,0.13099541
70,0,0,0,0.1445175
71,0,0,0,0.14376578
72,0,0,0,0.13410346
73,0,0,0,0.10951692
74,0,0,0,0.11302911
75,0,0,0,0.11240737
76,0,0,0,0.102655135
77,0,0,0,0.09048575
