lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999695
2,0,0,0,0.48202145
3,0,0,0,0.37566867
4,0,0,0,0.2000271
5,0,0,0,0.19593973
6,0,0,0,0.17945106
7,0,0,0,0.17870463
8,0,0,0,0.15932506
9,0,0,0,0.14425302
10,0,0,0,0.13378811
11,0,0,0,0.121626236
12,1,0,0,0.13149506
13,0,0,0,0.10842363
14,1,0,0,0.1328867
15,0,0,0,0.10473208
16,0,0,0,0.09749008
17,0,0,0,0.09622892
18,0,0,0,0.09570898
19,0,0,0,0.104760244
20,0,0,0,0.10152792
21,0,0,0,0.10168985
22,0,0,0,0.096969776
23,0,0,0,0.09384323
24,0,0,0,0.09855675
25,0,0,0,0.094305076
26,0,0,0,0.08667419
27,0,0,0,0.08570823
28,0,0,0,0.086189196
29,0,0,0,0.086546384
30,0,0,0,0.08539543
31,0,0,0,0.08356193
32,0,0,0,0.08707958
33,0,0,0,0.091414295
34,0,0,0,0.09357441
35,0,0,0,0.099300094
36,0,0,0,0.09356365
37,0,0,0,0.086292796
38,0,0,0,0.08173434
39,0,0,0,0.07566313
40,0,0,0,0.07717261
41,0,0,0,0.07802454
42,0,0,0,0.076940075
43,0,0,0,0.074812144
44,0,0,0,0.0722868
45,0,0,0,0.07815076
46,0,0,0,0.078736894
47,0,0,0,0.07819113
48,0,0,0,0.0850705
49,0,0,0,0.08356046
50,0,0,0,0.07922441
51,0,0,0,0.08624893
52,0,0,0,0.10860215
53,0,0,1,0.15168329
54,0,1,1,0.21973802
55,1,1,1,0.6450083
56,1,0,0,0.8539828
57,0,0,0,0.8705658
58,1,0,0,0.6582051
59,0,0,0,0.29456878
60,1,0,0,0.24507874
61,1,0,0,0.29366156
62,0,0,0,0.28280103
63,0,0,0,0.2786842
64,0,0,0,0.26756027
65,0,0,0,0.22898392
66,0,0,0,0.20392008
67,0,0,0,0.1893494
68,0,0,0,0.16311263
69,1,0,0,0.15897365
70,0,0,0,0.13124236
71,0,0,0,0.1350666
72,0,0,0,0.14594075
73,0,0,0,0.11890971
74,0,0,0,0.11132803
75,0,0,0,0.10141997
76,0,0,0,0.08848639
77,0,0,0,0.0855041
78,0,0,0,0.07963668
