lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999738
2,0,0,0,0.6675411
3,0,0,0,0.47354525
4,0,0,0,0.07304527
5,0,0,0,0.15563786
6,0,0,0,0.16588901
7,0,0,0,0.20130467
8,0,0,0,0.17698318
9,0,0,0,0.15608455
10,0,0,0,0.14364538
11,1,0,0,0.15641552
12,0,0,0,0.12998714
13,0,0,0,0.12807691
14,1,0,0,0.17001624
15,0,0,0,0.12003499
16,0,0,0,0.11696564
17,0,0,0,0.12094415
18,0,0,0,0.12195822
19,0,0,0,0.11693382
20,0,0,0,0.10165069
21,0,0,0,0.10073802
22,0,0,0,0.096131876
23,0,0,0,0.09544267
24,0,0,0,0.104307905
25,0,0,0,0.107469805
26,0,0,0,0.10825757
27,0,0,0,0.11144107
28,0,0,0,0.10866928
29,0,0,0,0.103474356
30,0,0,0,0.10246418
31,0,0,0,0.098527946
32,0,0,0,0.10005365
33,0,0,0,0.10248628
34,0,0,0,0.098135315
35,0,0,0,0.103633
36,0,0,0,0.09791077
37,0,0,0,0.09271433
38,0,0,0,0.08944315
39,0,0,0,0.0886928
40,0,0,0,0.08785389
41,0,0,0,0.087814465
42,0,0,0,0.08438809
43,0,0,0,0.08185639
44,0,0,0,0.08344551
45,0,0,0,0.089103885
46,0,0,0,0.08697675
47,0,0,0,0.08337293
48,0,0,0,0.08973893
49,0,0,0,0.08913078
50,0,0,1,0.0865865
51,0,1,1,0.09795045
52,0,0,0,0.33402002
53,0,0,0,0.33306858
54,1,0,0,0.52998114
55,1,0,0,0.59086615
56,0,0,0,0.44091144
57,1,0,0,0.47630513
58,1,0,0,0.46942145
59,1,0,0,0.32575867
60,1,0,0,0.36992216
61,0,0,0,0.30076343
62,0,0,0,0.25983343
63,0,0,0,0.23122571
64,0,0,0,0.21334323
65,0,0,0,0.19794385
66,0,0,0,0.181715
67,0,0,0,0.16122569
68,1,0,0,0.17358153
69,0,0,0,0.1438522
70,0,0,0,0.12656847
71,0,0,0,0.13652928
72,0,0,0,0.13896647
73,0,0,0,0.1382714
74,0,0,0,0.110787936
75,0,0,0,0.08983873
76,0,0,0,0.0828495
77,0,0,0,0.07879163
