lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999802
2,0,0,0,0.55203676
3,0,0,0,0.41999757
4,0,0,0,0.17322004
5,0,0,0,0.18762256
6,0,0,0,0.17772585
7,0,0,0,0.18736374
8,0,0,0,0.16890267
9,0,0,0,0.16012214
10,0,0,0,0.1468902
11,0,0,0,0.13180189
12,1,0,0,0.13951947
13,0,0,0,0.114358194
14,1,0,0,0.17280489
15,0,0,0,0.10616851
16,0,0,0,0.09965134
17,0,0,0,0.10434257
18,0,0,0,0.10254547
19,0,0,0,0.10899583
20,0,0,0,0.10560519
21,0,0,0,0.110349715
22,0,0,0,0.10257193
23,0,0,0,0.09593223
24,0,0,0,0.099494055
25,0,0,0,0.09528926
26,0,0,0,0.08947204
27,0,0,0,0.08902268
28,0,0,0,0.090565875
29,0,0,0,0.0884042
30,0,0,0,0.08576557
31,0,0,0,0.08238878
32,0,0,0,0.08938425
33,0,0,0,0.0931037
34,0,0,0,0.092257194
35,0,0,0,0.08919809
36,0,0,0,0.08187276
37,0,0,0,0.07969576
38,0,0,0,0.07887567
39,0,0,0,0.0793623
40,0,0,0,0.077179946
41,0,0,0,0.07683113
42,0,0,0,0.077966794
43,0,0,0,0.081527255
44,0,0,0,0.08248544
45,0,0,0,0.08825061
46,0,0,1,0.08027107
47,0,1,1,0.07542868
48,0,0,0,0.17701854
49,0,0,0,0.18159293
50,0,0,0,0.12463092
51,0,0,0,0.067058794
52,0,0,0,0.055343147
53,0,0,1,0.11154219
54,1,1,1,0.27485174
55,1,0,0,0.86918503
56,1,0,0,0.75100744
57,0,0,0,0.65381324
58,1,0,0,0.40164107
59,1,0,0,0.33056214
60,0,0,0,0.348667
61,1,0,0,0.36857215
62,0,0,0,0.29558563
63,0,0,0,0.26845074
64,0,0,0,0.2513425
65,0,0,0,0.23090994
66,0,0,0,0.21344584
67,0,0,0,0.1908371
68,1,0,0,0.21426596
69,0,0,0,0.13806796
70,0,0,0,0.14711125
71,0,0,0,0.14830673
72,0,0,0,0.1421464
73,0,0,0,0.113935776
74,0,0,0,0.09641964
75,0,0,0,0.09862196
76,0,0,0,0.090394944
77,0,0,0,0.0867108
78,0,0,0,0.08466812
