lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.54336923
2,0,0,0,0.21709819
3,0,0,0,0.14930212
4,0,0,0,0.08159326
5,0,0,0,0.065389596
6,0,0,0,0.06409286
7,0,0,0,0.07085295
8,0,0,0,0.06855533
9,0,0,0,0.06872675
10,0,0,0,0.067211516
11,0,0,0,0.063577905
12,1,0,0,0.074970394
13,0,0,0,0.05579613
14,1,0,0,0.10443433
15,0,0,0,0.057531144
16,0,0,0,0.057440672
17,0,0,0,0.05974461
18,0,0,0,0.058964733
19,0,0,0,0.0632564
20,0,0,0,0.062016245
21,0,0,0,0.06177481
22,0,0,0,0.06092974
23,0,0,0,0.055396397
24,0,0,0,0.060243227
25,0,0,0,0.058014974
26,0,0,0,0.057010815
27,0,0,0,0.058360353
28,0,0,0,0.058324628
29,0,0,0,0.05921304
30,0,0,1,0.059574027
31,0,1,1,0.06155475
32,0,0,0,0.29005522
33,0,0,0,0.24000724
34,0,0,0,0.14758901
35,0,0,0,0.21870653
36,0,0,0,0.15018499
37,0,0,0,0.19949412
38,0,0,0,0.18404962
39,0,0,0,0.15782343
40,0,0,0,0.14457145
41,0,0,0,0.12710066
42,0,0,0,0.11350227
43,0,0,0,0.106617264
44,0,0,0,0.10123608
45,0,0,0,0.105915956
46,0,0,0,0.10893394
47,0,0,0,0.10023177
48,0,0,0,0.1009439
49,0,0,0,0.09273828
50,0,0,0,0.08761589
51,0,0,0,0.10074013
52,0,0,0,0.11652621
53,0,0,1,0.13172662
54,0,1,1,0.17243692
55,1,0,0,0.77469826
56,1,0,0,0.6711665
57,0,0,0,0.6390885
58,1,0,0,0.4422149
59,0,0,0,0.29781365
60,1,0,0,0.43074986
61,1,0,0,0.41235915
62,0,0,0,0.30338946
63,0,0,0,0.27777162
64,0,0,0,0.26291382
65,0,0,0,0.2420797
66,0,0,0,0.21040587
67,0,0,0,0.17941096
68,0,0,0,0.15875408
69,1,0,0,0.15949503
70,0,0,0,0.13343368
71,0,0,0,0.124767795
72,0,0,0,0.12772061
73,0,0,0,0.110314794
74,0,0,0,0.09790471
75,0,0,0,0.09297256
76,0,0,0,0.082453184
77,0,0,0,0.07753092
78,0,0,0,0.0827264
