lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,1,1,0.57609767
2,0,0,0,0.9190319
3,0,0,0,0.6894267
4,0,0,0,0.29010078
5,0,0,0,0.059999775
6,0,0,0,0.08280057
7,0,0,0,0.17811969
8,0,0,0,0.17355512
9,0,0,0,0.15848382
10,0,0,0,0.14612854
11,1,0,0,0.15560302
12,0,0,0,0.13035785
13,0,0,0,0.13247882
14,1,0,0,0.26208937
15,0,0,0,0.13784464
16,0,0,0,0.12788187
17,0,0,0,0.1221419
18,0,0,0,0.114294745
19,0,0,0,0.12343429
20,0,0,0,0.117290646
21,0,0,0,0.10745714
22,0,0,0,0.09273603
23,0,0,0,0.08532005
24,0,0,0,0.09502347
25,0,0,0,0.09941329
26,0,0,0,0.09520955
27,0,0,0,0.09522405
28,0,0,0,0.09602748
29,0,0,0,0.09919178
30,0,0,0,0.1066955
31,0,0,0,0.10142232
32,0,0,0,0.10511388
33,0,0,0,0.10406025
34,0,0,0,0.10959145
35,0,0,0,0.11656362
36,0,0,0,0.09483681
37,0,0,0,0.08456552
38,0,0,0,0.07999382
39,0,0,0,0.08225474
40,0,0,0,0.08446439
41,0,0,0,0.08265214
42,0,0,0,0.08306643
43,0,0,0,0.08436643
44,0,0,0,0.08507206
45,0,0,0,0.08938382
46,0,0,0,0.08701391
47,0,0,0,0.08285113
48,0,0,0,0.09121867
49,0,0,0,0.091100916
50,0,0,0,0.089009605
51,0,0,0,0.100356676
52,0,0,0,0.13365947
53,0,0,1,0.20696823
54,1,1,1,0.3830184
55,1,0,0,0.994292
56,0,0,0,0.8757289
57,1,0,0,0.72608185
58,1,0,1,0.38058355
59,0,1,1,0.18690453
60,1,0,0,0.66349673
61,0,0,0,0.5473991
62,0,0,0,0.42922235
63,0,0,0,0.19081663
64,0,0,0,0.13458276
65,0,0,0,0.17439757
66,0,0,0,0.17151767
67,1,0,0,0.18170868
68,0,0,0,0.14473754
69,0,0,0,0.1449429
70,0,0,0,0.1433541
71,0,0,0,0.19419822
72,0,0,0,0.1804413
73,0,0,0,0.14968002
74,0,0,0,0.10210375
75,0,0,0,0.10293858
76,0,0,0,0.12034145
