lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.999987
2,0,0,0,0.54207057
3,0,0,0,0.4144859
4,0,0,0,0.17627881
5,0,0,0,0.1883731
6,0,0,0,0.1783183
7,0,0,0,0.18745276
8,0,0,0,0.17004915
9,0,0,0,0.15984012
10,0,0,0,0.14674321
11,0,0,0,0.13098867
12,1,0,0,0.1380927
13,0,0,0,0.11168457
14,1,0,0,0.22128649
15,0,0,0,0.10595913
16,0,0,0,0.10080598
17,0,0,0,0.10474839
18,0,0,0,0.10326553
19,0,0,0,0.10985392
20,0,0,0,0.10614194
21,0,0,0,0.10922973
22,0,0,0,0.10320815
23,0,0,0,0.09535596
24,0,0,0,0.099177495
25,0,0,0,0.094799116
26,0,0,0,0.089505956
27,0,0,0,0.08972631
28,0,0,0,0.08917535
29,0,0,0,0.08793536
30,0,0,0,0.08439502
31,0,0,0,0.08393312
32,0,0,0,0.090183645
33,0,0,0,0.09333131
34,0,0,0,0.0906531
35,0,0,0,0.08838595
36,0,0,0,0.082497895
37,0,0,0,0.08012397
38,0,0,0,0.07933482
39,0,0,0,0.078784674
40,0,0,0,0.077743374
41,0,0,0,0.07724878
42,0,0,0,0.07993482
43,0,0,1,0.080939226
44,0,1,1,0.08435082
45,0,0,0,0.19232364
46,0,0,0,0.17337012
47,0,0,0,0.0981527
48,0,0,0,0.06403502
49,0,0,0,0.047072314
50,0,0,0,0.060432825
51,0,0,0,0.06566268
52,0,0,0,0.071935326
53,0,0,0,0.11141376
54,0,0,1,0.20813546
55,1,1,1,0.65125
56,1,0,0,0.8579075
57,0,0,0,0.6538106
58,1,0,0,0.633193
59,1,0,0,0.37342697
60,0,0,0,0.23098437
61,1,0,0,0.36504897
62,0,0,0,0.29716548
63,0,0,0,0.27911305
64,0,0,0,0.26445657
65,0,0,0,0.23776893
66,0,0,0,0.22003354
67,0,0,0,0.18914096
68,1,0,0,0.18405293
69,0,0,0,0.13988665
70,0,0,0,0.1453913
71,0,0,0,0.15687746
72,0,0,0,0.1448323
73,0,0,0,0.11123866
74,0,0,0,0.09823411
75,0,0,0,0.09771898
76,0,0,0,0.09538073
77,0,0,0,0.09042373
78,0,0,0,0.08623637
