lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999887
2,0,0,0,0.689818
3,0,0,0,0.48716426
4,0,0,0,0.05826541
5,0,0,0,0.14819756
6,0,0,0,0.16153435
7,0,0,0,0.20410725
8,0,0,0,0.18178065
9,0,0,0,0.15957059
10,0,0,0,0.14436418
11,1,0,0,0.15815131
12,0,0,0,0.13235277
13,0,0,0,0.13205397
14,1,0,0,0.29082152
15,0,0,0,0.12592985
16,0,0,0,0.11759475
17,0,0,0,0.11722983
18,0,0,0,0.11028897
19,0,0,0,0.11232908
20,0,0,0,0.10419036
21,0,0,0,0.10566952
22,0,0,0,0.104324706
23,0,0,0,0.09999047
24,0,0,0,0.107116856
25,0,0,0,0.102552615
26,0,0,0,0.09626695
27,0,0,0,0.09668439
28,0,0,0,0.10065787
29,0,0,0,0.10349723
30,0,0,0,0.10416624
31,0,0,0,0.10153267
32,0,0,0,0.10253669
33,0,0,0,0.11221065
34,0,0,0,0.11485748
35,0,0,0,0.106819
36,0,0,0,0.09243381
37,0,0,0,0.087835364
38,0,0,0,0.08844075
39,0,0,0,0.08683123
40,0,0,0,0.08205241
41,0,0,0,0.08013593
42,0,0,0,0.08319211
43,0,0,0,0.083742015
44,0,0,0,0.08353531
45,0,0,0,0.0895808
46,0,0,0,0.08933276
47,0,0,0,0.08557825
48,0,0,0,0.093408234
49,0,0,0,0.092357844
50,0,0,0,0.089235745
51,0,0,0,0.10233642
52,0,0,0,0.13636944
53,0,0,0,0.20314315
54,1,0,0,0.34910268
55,1,0,1,0.5485911
56,0,1,1,0.17832479
57,0,0,0,0.77720493
58,1,0,0,0.8827615
59,1,0,0,0.8992371
60,0,0,0,0.83663833
61,0,0,0,0.86639714
62,0,0,0,0.14963183
63,0,0,0,0.10094849
64,0,0,0,0.19830278
65,0,0,0,0.1984634
66,1,0,0,0.22392666
67,0,0,0,0.17974481
68,0,0,0,0.17692268
69,0,0,0,0.21624435
70,0,0,1,0.2053824
71,0,1,1,0.22798938
