lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.6590756
2,0,0,0,0.26255837
3,0,0,0,0.1726016
4,0,0,0,0.0812142
5,0,0,0,0.06348426
6,0,0,0,0.06343478
7,0,0,0,0.072699144
8,0,0,0,0.06906055
9,0,0,0,0.0660953
10,0,0,0,0.06596153
11,0,0,0,0.06575785
12,1,0,0,0.074562326
13,0,0,0,0.06543139
14,1,0,0,0.16842347
15,0,0,0,0.061359826
16,0,0,0,0.05837257
17,0,0,0,0.06027133
18,0,0,0,0.061761633
19,0,0,0,0.0665483
20,0,0,0,0.066679195
21,0,0,0,0.066443495
22,0,0,0,0.06529413
23,0,0,0,0.06022827
24,0,0,0,0.06380463
25,0,0,0,0.063037045
26,0,0,0,0.061306898
27,0,0,0,0.063629165
28,0,0,0,0.065656975
29,0,0,0,0.06617829
30,0,0,0,0.06658576
31,0,0,0,0.06626262
32,0,0,0,0.07062119
33,0,0,0,0.07225966
34,0,0,0,0.07197252
35,0,0,0,0.072390445
36,0,0,0,0.06849324
37,0,0,0,0.065565355
38,0,0,0,0.06583481
39,0,0,0,0.066475265
40,0,0,0,0.06719161
41,0,0,0,0.068694524
42,0,0,0,0.06965701
43,0,0,0,0.070485204
44,0,0,0,0.07074554
45,0,0,0,0.076114535
46,0,0,0,0.075107016
47,0,0,0,0.07401362
48,0,0,0,0.08186248
49,0,0,1,0.08266259
50,0,1,1,0.08235637
51,0,0,0,0.30261505
52,0,0,0,0.43286085
53,0,0,1,0.6173962
54,1,1,1,0.64554447
55,1,0,0,0.98001707
56,0,0,0,0.78554225
57,1,0,0,0.59493035
58,1,0,0,0.45888928
59,1,0,0,0.23891495
60,1,0,0,0.33335316
61,0,0,0,0.30870757
62,0,0,0,0.2669954
63,0,0,0,0.24342996
64,0,0,0,0.2220175
65,0,0,0,0.21518369
66,0,0,0,0.21939059
67,0,0,0,0.2055148
68,1,0,0,0.18555674
69,0,0,0,0.12150989
70,0,0,0,0.09982689
71,0,0,0,0.10594051
72,0,0,0,0.114564374
73,0,0,0,0.09592777
74,0,0,0,0.08480725
75,0,0,0,0.081399195
76,0,0,0,0.081710435
77,0,0,0,0.08645384
