lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.68615156
2,0,0,0,0.19407728
3,0,0,0,0.13910644
4,0,0,0,0.08032492
5,0,0,0,0.06783133
6,0,0,0,0.06667151
7,0,0,0,0.071419835
8,0,0,0,0.0694981
9,0,0,0,0.06700854
10,0,0,0,0.06536095
11,0,0,0,0.063235916
12,1,0,0,0.07661152
13,0,0,0,0.058345918
14,1,0,0,0.16664739
15,0,0,0,0.056314826
16,0,0,0,0.05566284
17,0,0,0,0.0576766
18,0,0,0,0.05859588
19,0,0,0,0.06311634
20,0,0,0,0.061946306
21,0,0,0,0.061575048
22,0,0,0,0.060261637
23,0,0,0,0.05701143
24,0,0,0,0.06113211
25,0,0,0,0.05886716
26,0,0,0,0.05629463
27,0,0,0,0.056873802
28,0,0,0,0.05729717
29,0,0,0,0.057632394
30,0,0,0,0.058519673
31,0,0,1,0.060085356
32,0,1,1,0.065652266
33,0,0,0,0.3018763
34,0,0,0,0.26901323
35,0,0,0,0.19260964
36,0,0,0,0.21022058
37,0,0,0,0.14583819
38,0,0,0,0.18520324
39,0,0,0,0.17433855
40,0,0,0,0.15692477
41,0,0,0,0.14152347
42,0,0,0,0.1259961
43,0,0,0,0.11499445
44,0,0,0,0.109143555
45,0,0,0,0.1136227
46,0,0,0,0.108708635
47,0,0,0,0.097995296
48,0,0,0,0.10176527
49,0,0,0,0.09721922
50,0,0,0,0.093276195
51,0,0,0,0.1039505
52,0,0,0,0.124457695
53,0,0,1,0.14729196
54,0,1,1,0.20355928
55,1,0,0,0.85932386
56,1,0,0,0.6450948
57,0,0,0,0.6556758
58,1,0,0,0.5817923
59,0,0,0,0.29440394
60,1,0,0,0.4323894
61,1,0,0,0.38304797
62,0,0,0,0.30309126
63,0,0,0,0.27433628
64,0,0,0,0.26339388
65,0,0,0,0.25155926
66,0,0,0,0.21393909
67,0,0,0,0.18021119
68,0,0,0,0.15087825
69,1,0,0,0.15680563
70,0,0,0,0.131526
71,0,0,0,0.12652035
72,0,0,0,0.12796581
73,0,0,0,0.11365263
74,0,0,0,0.1004722
75,0,0,0,0.093310684
76,0,0,0,0.08237003
77,0,0,0,0.07832982
78,0,0,0,0.08290053
