lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,1,1,0.71275747
2,0,0,0,0.90853953
3,0,0,0,0.67037797
4,0,0,0,0.23357196
5,0,0,0,0.05971445
6,0,0,0,0.08094377
7,0,0,0,0.1721626
8,0,0,0,0.17195013
9,0,0,0,0.16408977
10,0,0,0,0.15780011
11,1,0,0,0.1743408
12,0,0,0,0.14085242
13,0,0,0,0.13861534
14,1,0,0,0.367208
15,0,0,0,0.12895086
16,0,0,0,0.120264105
17,0,0,0,0.11819304
18,0,0,0,0.12014096
19,0,0,0,0.1136608
20,0,0,0,0.09888406
21,0,0,0,0.098051906
22,0,0,0,0.09783124
23,0,0,0,0.10060212
24,0,0,0,0.10701461
25,0,0,0,0.102556124
26,0,0,0,0.09525991
27,0,0,0,0.09850503
28,0,0,0,0.10019264
29,0,0,0,0.102527425
30,0,0,0,0.10177063
31,0,0,0,0.10359828
32,0,0,0,0.1064555
33,0,0,1,0.10730152
34,0,1,1,0.11077736
35,0,0,0,0.25369576
36,0,0,0,0.17418121
37,0,0,0,0.10353339
38,0,0,0,0.052027825
39,0,0,0,0.036487028
40,0,0,0,0.059245452
41,0,0,0,0.061158888
42,0,0,0,0.064153776
43,0,0,0,0.064453855
44,0,0,0,0.064005844
45,0,0,0,0.064479105
46,0,0,0,0.0600747
47,0,0,0,0.055045135
48,0,0,0,0.05731636
49,0,0,0,0.05656167
50,0,0,0,0.057849437
51,0,0,0,0.08531201
52,0,0,1,0.12725517
53,0,1,1,0.2209282
54,1,0,0,0.59379953
55,1,0,0,0.9463629
56,0,0,1,0.72051334
57,1,1,1,0.45446506
58,1,0,0,0.73632133
59,0,0,0,0.6220018
60,1,0,0,0.4978497
61,0,0,0,0.21589729
62,0,0,0,0.14414015
63,0,0,0,0.20434096
64,0,0,0,0.20629893
65,0,0,0,0.17439921
66,0,0,0,0.16164643
67,1,0,0,0.16831732
68,0,0,0,0.13907515
69,0,0,1,0.13543195
70,0,1,1,0.13275081
71,0,0,0,0.45123348
72,0,0,0,0.38233128
73,0,0,0,0.20436671
74,0,0,0,0.127763
75,0,0,0,0.07006505
76,0,0,0,0.14157747
