lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999933
2,0,0,0,0.60753495
3,0,0,0,0.45671734
4,0,0,0,0.13938545
5,0,0,0,0.17962876
6,0,0,0,0.17521389
7,0,0,0,0.19264984
8,0,0,0,0.17288847
9,0,0,0,0.1555605
10,0,0,0,0.14581425
11,0,0,0,0.13544607
12,1,0,0,0.14737701
13,0,0,0,0.12674627
14,1,0,0,0.34497726
15,0,0,0,0.1171044
16,0,0,0,0.10671713
17,0,0,0,0.10520496
18,0,0,0,0.106258854
19,0,0,0,0.11242403
20,0,0,0,0.112237364
21,0,0,0,0.11687224
22,0,0,0,0.111274816
23,0,0,0,0.103030115
24,0,0,0,0.1081717
25,0,0,0,0.10648005
26,0,0,0,0.1023302
27,0,0,0,0.1042978
28,0,0,0,0.10287502
29,0,0,0,0.096957125
30,0,0,0,0.09048889
31,0,0,0,0.08709049
32,0,0,0,0.09200262
33,0,0,0,0.09723517
34,0,0,0,0.095860966
35,0,0,0,0.09554823
36,0,0,0,0.08873485
37,0,0,0,0.08180759
38,0,0,0,0.0804084
39,0,0,0,0.07912294
40,0,0,0,0.079912305
41,0,0,0,0.08191159
42,0,0,0,0.08389837
43,0,0,0,0.083587855
44,0,0,0,0.08255248
45,0,0,0,0.08630118
46,0,0,0,0.08383573
47,0,0,0,0.08038175
48,0,0,0,0.08578191
49,0,0,0,0.08639783
50,0,0,0,0.09310084
51,0,0,0,0.100330584
52,0,0,0,0.13410911
53,0,0,1,0.17122447
54,1,1,1,0.32865778
55,1,0,0,0.9849915
56,0,0,0,0.7756563
57,1,0,0,0.65468514
58,1,0,0,0.58848757
59,1,0,0,0.24952063
60,1,0,0,0.42355698
61,0,0,0,0.3019921
62,0,0,0,0.2675412
63,0,0,0,0.2504407
64,0,0,0,0.23504649
65,0,0,0,0.21877334
66,0,0,0,0.20301028
67,0,0,0,0.18157755
68,1,0,0,0.194191
69,0,0,0,0.13915607
70,0,0,0,0.12565471
71,0,0,0,0.113383815
72,0,0,0,0.10504617
73,0,0,0,0.100257225
74,0,0,0,0.09372312
75,0,0,0,0.09245974
76,0,0,0,0.08939528
77,0,0,0,0.08540103
