lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.99999416
2,0,0,0,0.5635056
3,0,0,0,0.429736
4,0,0,0,0.16807841
5,0,0,0,0.18883123
6,0,0,0,0.1762381
7,0,0,0,0.18697983
8,0,0,0,0.16826972
9,0,0,0,0.15694521
10,0,0,0,0.146904
11,0,0,0,0.1333029
12,1,0,0,0.15522017
13,0,0,0,0.11531892
14,1,0,0,0.34112814
15,0,0,0,0.10438407
16,0,0,0,0.09987796
17,0,0,0,0.10558686
18,0,0,0,0.10495127
19,0,0,0,0.109688774
20,0,0,0,0.10558564
21,0,0,0,0.10871668
22,0,0,0,0.1032443
23,0,0,0,0.09526095
24,0,0,0,0.09966276
25,0,0,0,0.09589734
26,0,0,0,0.090348065
27,0,0,0,0.0899952
28,0,0,0,0.08975673
29,0,0,0,0.087900214
30,0,0,0,0.08537943
31,0,0,0,0.083354786
32,0,0,0,0.088151865
33,0,0,0,0.09218096
34,0,0,0,0.09167635
35,0,0,0,0.09126268
36,0,0,0,0.08456016
37,0,0,0,0.07860162
38,0,0,0,0.07763736
39,0,0,0,0.07680391
40,0,0,0,0.07754586
41,0,0,0,0.0776601
42,0,0,0,0.07743934
43,0,0,0,0.079396345
44,0,0,0,0.08063944
45,0,0,0,0.08780897
46,0,0,0,0.08419957
47,0,0,0,0.07827531
48,0,0,0,0.08302743
49,0,0,0,0.080672
50,0,0,0,0.078516886
51,0,0,0,0.087490074
52,0,0,0,0.1090246
53,0,0,1,0.15102267
54,0,1,1,0.2100788
55,1,0,0,0.9145031
56,1,0,0,0.78007895
57,0,0,0,0.79562163
58,1,0,0,0.78889674
59,1,0,0,0.28899375
60,0,0,0,0.28231984
61,1,0,0,0.37158325
62,0,0,0,0.29479733
63,0,0,0,0.27364215
64,0,0,0,0.24299566
65,0,0,0,0.22068162
66,0,0,0,0.1977782
67,0,0,0,0.17647533
68,0,0,0,0.16127843
69,1,0,0,0.16814117
70,0,0,0,0.1399527
71,0,0,0,0.13359493
72,0,0,0,0.13687712
73,0,0,0,0.118013695
74,0,0,0,0.10612643
75,0,0,0,0.10092556
76,0,0,0,0.09090972
77,0,0,0,0.08395179
78,0,0,0,0.08675201
