lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.999995
2,0,0,0,0.51303375
3,0,0,0,0.39994577
4,0,0,0,0.19845186
5,0,0,0,0.19819485
6,0,0,0,0.1833586
7,0,0,0,0.18627135
8,0,0,0,0.16990457
9,0,0,0,0.15671255
10,0,0,0,0.14200446
11,0,0,0,0.12704074
12,1,0,0,0.16274986
13,0,0,0,0.11690178
14,1,0,0,0.37824646
15,0,0,0,0.10759497
16,0,0,0,0.09781559
17,0,0,0,0.10053466
18,0,0,0,0.10230904
19,0,0,0,0.110393494
20,0,0,0,0.105963424
21,0,0,0,0.10673954
22,0,0,0,0.10114128
23,0,0,0,0.09533548
24,0,0,0,0.10032077
25,0,0,0,0.09724408
26,0,0,0,0.090048365
27,0,0,0,0.08772834
28,0,0,0,0.086004116
29,0,0,0,0.0851802
30,0,0,0,0.08451792
31,0,0,0,0.0838217
32,0,0,1,0.0886904
33,0,1,1,0.09125221
34,0,0,0,0.19274494
35,0,0,0,0.20376648
36,0,0,0,0.14287092
37,0,0,0,0.07078393
38,0,0,0,0.05063912
39,0,0,0,0.0634383
40,0,0,0,0.06474069
41,0,0,0,0.060755927
42,0,0,0,0.05937414
43,0,0,0,0.056967102
44,0,0,0,0.054021984
45,0,0,0,0.060266957
46,0,0,0,0.06006578
47,0,0,0,0.0571696
48,0,0,0,0.0589381
49,0,0,0,0.055489916
50,0,0,0,0.053078346
51,0,0,0,0.057301182
52,0,0,0,0.07238702
53,0,0,0,0.1091839
54,0,0,1,0.16301766
55,1,1,1,0.7700731
56,1,0,0,0.9929262
57,0,0,0,0.90145534
58,1,0,0,0.9113829
59,1,0,0,0.35885406
60,0,0,0,0.1929339
61,1,0,0,0.40147763
62,0,0,0,0.315217
63,0,0,0,0.2789609
64,0,0,0,0.2577126
65,0,0,0,0.23195808
66,0,0,0,0.2129561
67,0,0,0,0.19414988
68,1,0,0,0.1916791
69,0,0,0,0.14379895
70,0,0,0,0.14646208
71,0,0,0,0.15151113
72,0,0,0,0.1430377
73,0,0,0,0.11624846
74,0,0,0,0.09560206
75,0,0,0,0.09958462
76,0,0,0,0.09223955
77,0,0,0,0.08692402
78,0,0,0,0.08372848
