lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.8187524
2,0,0,0,0.349159
3,0,0,0,0.19355865
4,0,0,0,0.04778679
5,0,0,0,0.05207444
6,0,0,0,0.059532627
7,0,0,0,0.078564465
8,0,0,0,0.07293257
9,0,0,0,0.06813694
10,0,0,0,0.0677556
11,1,0,0,0.080364585
12,0,0,0,0.06847198
13,0,0,0,0.06953573
14,1,0,0,0.29985628
15,0,0,0,0.06728001
16,0,0,0,0.06621001
17,0,0,0,0.06786743
18,0,0,0,0.076790325
19,0,0,1,0.08400219
20,0,1,1,0.08544837
21,0,0,0,0.41978195
22,0,0,1,0.32251704
23,0,1,1,0.15909992
24,0,0,0,0.1439999
25,0,0,0,0.092286
26,0,0,0,0.10232442
27,0,0,0,0.058735862
28,0,0,0,0.04020065
29,0,0,0,0.057689525
30,0,0,0,0.058648564
31,0,0,0,0.055786684
32,0,0,0,0.057349604
33,0,0,0,0.058680005
34,0,0,0,0.05807134
35,0,0,0,0.05857776
36,0,0,0,0.057483666
37,0,0,0,0.05337523
38,0,0,0,0.052435983
39,0,0,0,0.055479825
40,0,0,0,0.061710227
41,0,0,0,0.06443709
42,0,0,0,0.060353644
43,0,0,0,0.05555651
44,0,0,0,0.0557626
45,0,0,0,0.07157754
46,0,0,0,0.072899595
47,0,0,0,0.069055185
48,0,0,0,0.06750601
49,0,0,0,0.06448365
50,0,0,0,0.07281843
51,0,0,1,0.089332335
52,0,1,1,0.13056952
53,1,0,0,0.59143335
54,1,0,0,0.63205266
55,0,0,0,0.70101815
56,1,0,0,0.58756226
57,1,0,0,0.32635424
58,1,0,0,0.8358047
59,1,0,0,0.6612751
60,0,0,0,0.50062346
61,0,0,0,0.27481696
62,0,0,0,0.2188162
63,0,0,0,0.24409077
64,0,0,0,0.2530141
65,0,0,0,0.23423564
66,0,0,0,0.22077873
67,1,0,0,0.19769385
68,0,0,0,0.17691797
69,0,0,0,0.15417549
70,0,0,0,0.14445268
71,0,0,0,0.08433635
72,0,0,0,0.05212219
73,0,0,0,0.042738855
74,0,0,0,0.078467764
75,0,0,0,0.06363496
76,0,0,0,0.09403679
