lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.9999962
2,0,0,0,0.70599806
3,0,0,0,0.49487486
4,0,0,0,0.04940697
5,0,0,0,0.1397466
6,0,0,0,0.15752122
7,0,0,0,0.2084009
8,0,0,0,0.18482102
9,0,0,0,0.1590649
10,0,0,0,0.13975692
11,1,0,0,0.1691279
12,0,0,0,0.13160656
13,0,0,0,0.13347013
14,1,0,0,0.4796617
15,0,0,0,0.12618989
16,0,0,0,0.11694126
17,0,0,0,0.116911285
18,0,0,0,0.11970357
19,0,0,0,0.11227095
20,0,0,0,0.09986069
21,0,0,0,0.098638885
22,0,0,0,0.09839123
23,0,0,0,0.10005812
24,0,0,0,0.10722668
25,0,0,0,0.10255511
26,0,0,0,0.09803475
27,0,0,0,0.09764089
28,0,0,0,0.101080224
29,0,0,0,0.10309773
30,0,0,0,0.103369296
31,0,0,0,0.102189116
32,0,0,0,0.1123375
33,0,0,0,0.111082815
34,0,0,0,0.11119464
35,0,0,0,0.09823022
36,0,0,0,0.095042825
37,0,0,0,0.09138012
38,0,0,0,0.088376075
39,0,0,0,0.08418413
40,0,0,0,0.079343595
41,0,0,0,0.08207759
42,0,0,0,0.0839647
43,0,0,0,0.08497861
44,0,0,0,0.085834615
45,0,0,0,0.090988845
46,0,0,0,0.08776494
47,0,0,0,0.085037105
48,0,0,0,0.09382024
49,0,0,0,0.09369226
50,0,0,1,0.08839593
51,0,1,1,0.09902071
52,0,0,0,0.23435257
53,0,0,0,0.3159476
54,0,0,0,0.5456657
