lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.8602699
2,0,0,0,0.25262263
3,0,0,0,0.16702075
4,0,0,0,0.080027096
5,0,0,0,0.06365787
6,0,0,0,0.063419655
7,0,0,0,0.07149102
8,0,0,0,0.06843993
9,0,0,0,0.0669443
10,0,0,0,0.06658155
11,0,0,0,0.065123394
12,1,0,0,0.073505715
13,0,0,0,0.06309537
14,1,0,0,0.31655142
15,0,0,0,0.05946045
16,0,0,0,0.056590788
17,0,0,0,0.05795994
18,0,0,0,0.058583494
19,0,0,0,0.06496139
20,0,0,0,0.064234965
21,0,0,0,0.06616444
22,0,0,0,0.06537071
23,0,0,0,0.061969552
24,0,0,0,0.06751879
25,0,0,0,0.066148385
26,0,0,0,0.06444566
27,0,0,0,0.065569885
28,0,0,0,0.06418018
29,0,0,0,0.06313163
30,0,0,0,0.06252926
31,0,0,0,0.0638783
32,0,0,0,0.06998289
33,0,0,0,0.074477375
34,0,0,0,0.075456515
35,0,0,0,0.07466491
36,0,0,0,0.06774329
37,0,0,0,0.06303409
38,0,0,0,0.063334286
39,0,0,0,0.065499105
40,0,0,0,0.06779311
41,0,0,0,0.06909364
42,0,0,0,0.06903198
43,0,0,0,0.069583744
44,0,0,0,0.07027231
45,0,0,0,0.07663932
46,0,0,0,0.075532965
47,0,0,0,0.07431005
48,0,0,0,0.08196242
49,0,0,0,0.08213448
50,0,0,0,0.08219511
51,0,0,0,0.09159986
52,0,0,1,0.11793514
53,0,1,1,0.1744258
54,1,0,0,0.8774155
55,1,0,0,0.7382139
56,0,0,0,0.62220067
57,1,0,0,0.45717528
58,1,0,0,0.56011194
59,1,0,0,0.5070448
60,1,0,0,0.3884191
61,0,0,0,0.33498576
62,0,0,0,0.28595558
63,0,0,0,0.26426163
64,0,0,0,0.24522167
65,0,0,0,0.2543683
66,0,0,0,0.2381577
67,0,0,0,0.21801329
68,1,0,0,0.20337938
69,0,0,0,0.600008
70,0,0,0,0.44269294
71,0,0,0,0.45585236
72,0,0,0,0.11406792
73,0,0,0,0.06072663
74,0,0,0,0.08948381
75,0,0,0,0.09609687
76,0,0,0,0.09423004
