lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,0,0,0.8790957
2,0,0,0,0.16821355
3,0,0,0,0.12462104
4,0,0,0,0.0772856
5,0,0,0,0.066122234
6,0,0,0,0.06402176
7,0,0,0,0.065607615
8,0,0,0,0.06380619
9,0,0,0,0.06193217
10,0,0,0,0.0591204
11,0,0,0,0.05692876
12,1,0,0,0.068801
13,0,0,0,0.052392952
14,1,0,0,0.30623662
15,0,0,0,0.053347215
16,0,0,0,0.053408895
17,0,0,0,0.054082178
18,0,0,0,0.052818436
19,0,0,0,0.05649293
20,0,0,0,0.055530295
21,0,0,0,0.0571502
22,0,0,0,0.05615865
23,0,0,0,0.052541588
24,0,0,0,0.05543539
25,0,0,0,0.05477089
26,0,0,0,0.054898754
27,0,0,0,0.05697386
28,0,0,0,0.058433197
29,0,0,0,0.06031458
30,0,0,0,0.06237988
31,0,0,0,0.064871944
32,0,0,0,0.0716745
33,0,0,0,0.076452084
34,0,0,0,0.07837723
35,0,0,0,0.076283105
36,0,0,0,0.068852715
37,0,0,0,0.06378694
38,0,0,0,0.062180992
39,0,0,0,0.06189041
40,0,0,0,0.061167922
41,0,0,0,0.06224637
42,0,0,0,0.06346992
43,0,0,0,0.064383075
44,0,0,0,0.06543845
45,0,0,0,0.07084749
46,0,0,0,0.07027222
47,0,0,0,0.06992053
48,0,0,0,0.07746887
49,0,0,0,0.07797063
50,0,0,0,0.07811617
51,0,0,0,0.086081885
52,0,0,0,0.099302046
53,0,0,0,0.12875427
54,0,0,1,0.17613617
55,1,1,1,0.3992966
56,1,0,0,0.9038913
57,0,0,0,0.70903325
58,1,0,0,0.8822008
59,1,0,0,0.4820364
60,1,0,0,0.2696686
61,1,0,0,0.33849704
62,0,0,0,0.2793361
63,0,0,0,0.2461669
64,0,0,0,0.23579869
65,0,0,0,0.22528908
66,0,0,0,0.21083787
67,0,0,0,0.17948835
68,0,0,0,0.14894521
69,1,0,0,0.15410088
70,0,0,0,0.1260448
71,0,0,0,0.13442178
72,0,0,0,0.13500991
73,0,0,0,0.121880986
74,0,0,0,0.10905072
75,0,0,0,0.096600085
76,0,0,0,0.084330454
77,0,0,0,0.07943438
78,0,0,0,0.081479244
