lap,cheap_stop_flag_true,pitted_this_lap,pitted_within2,prob_within2
1,1,1,1,0.61157817
2,0,0,0,0.91194695
3,0,0,0,0.6823757
4,0,0,0,0.23003194
5,0,0,0,0.06083494
6,0,0,0,0.08352005
7,0,0,0,0.17749064
8,0,0,0,0.17595431
9,0,0,0,0.16057636
10,0,0,0,0.14700437
11,1,0,0,0.1576948
12,0,0,0,0.13232775
13,0,0,0,0.13474923
14,1,0,0,0.5774419
15,0,0,0,0.1331294
16,0,0,0,0.12167087
17,0,0,0,0.12075807
18,0,0,0,0.11819979
19,0,0,0,0.13055223
20,0,0,0,0.1331057
21,0,0,0,0.13178863
22,0,0,0,0.10728028
23,0,0,0,0.087310106
24,0,0,0,0.08741252
25,0,0,0,0.08814017
26,0,0,0,0.088375196
27,0,0,0,0.09099965
28,0,0,0,0.09214166
29,0,0,0,0.09975025
30,0,0,0,0.09888097
31,0,0,0,0.10093465
32,0,0,0,0.10109985
33,0,0,0,0.10356428
34,0,0,0,0.112997316
35,0,0,0,0.11451587
36,0,0,0,0.096815854
37,0,0,0,0.08403661
38,0,0,0,0.08001109
39,0,0,0,0.08268754
40,0,0,0,0.08503758
41,0,0,0,0.08322394
42,0,0,0,0.0835982
43,0,0,0,0.08397214
44,0,0,0,0.08389031
45,0,0,0,0.08922412
46,0,0,0,0.08705623
47,0,0,0,0.08407203
48,0,0,0,0.09152037
49,0,0,0,0.09116908
50,0,0,0,0.08940971
51,0,0,1,0.10516611
52,0,1,1,0.14182138
53,0,0,0,0.42560336
54,1,0,0,0.5833619
55,1,0,0,0.80166787
56,0,0,0,0.58352065
57,1,0,0,0.4264965
58,1,0,0,0.7820235
59,0,0,0,0.36413231
60,1,0,0,0.42140046
61,0,0,0,0.3175767
62,0,0,0,0.2572863
63,0,0,0,0.2425056
64,0,0,0,0.242243
65,0,0,0,0.25697464
66,0,0,0,0.23896357
67,1,0,0,0.21482934
68,0,0,0,0.13777053
69,0,0,0,0.12212156
70,0,0,0,0.13863815
71,0,0,0,0.1446092
72,0,0,0,0.12806104
73,0,0,0,0.09991973
74,0,0,0,0.100434236
75,0,0,0,0.10337032
76,0,0,0,0.09823769
77,0,0,0,0.08825237
